book_id,title,publication_year,author_id
/works/OL138052W,Alice's Adventures in Wonderland,1865,/authors/OL22098A
/works/OL450063W,Frankenstein or The Modern Prometheus,1818,/authors/OL25342A
/works/OL18417W,The Wonderful Wizard of Oz,1899,/authors/OL23431A
/works/OL52267W,The Time Machine,1895,/authors/OL13066A
/works/OL262460W,The Lost World,1900,/authors/OL161167A
/works/OL85892W,Dracula,1897,/authors/OL31727A
/works/OL74502W,The Iron Heel,1907,/authors/OL44633A
/works/OL64468W,Brave New World,1800,/authors/OL19767A
/works/OL64468W,Brave New World,1800,/authors/OL3127898A
/works/OL118388W,Flatland,1884,/authors/OL20585A
/works/OL1168083W,Nineteen Eighty-Four,1949,/authors/OL118077A
/works/OL52114W,The War of the Worlds,1898,/authors/OL13066A
/works/OL52266W,The Invisible Man,1897,/authors/OL13066A
